stash_address,commission_percent,self_stake,total_stake,era_points,cluster,voters
14BB4ZbvPadELb1jBhbJq6GbECvBfkxFmohybYexzpE4KMq2,5.0,2.0,2167162.9753920906,920,1,819
14GUw7ET8qjnwfCpj4XThCCvJ3YmiH1SyS5R1XxNdmhgF59V,1.5,10209.9332354561,2166213.6488912357,520,1,391
14MWxXZza2FNBzuy52V8Mu6aU5tQeFcqEuLYah8NQbrmRbez,5.0,1.0,2138729.0045824265,820,6,341
14N5GT7YTaDBSsLpfxxtCxNdYfgDofGj5wQSfqC1URKHdT8C,10.0,2951.166854759,2167799.4533943394,880,2,257
14N5nJ4oR4Wj36DsBcPLh1JqjvrM2Uf23No2yc2ojjCvSC24,3.0,11575.0243804831,2225201.0225214786,860,5,493
14QBQABMSFBsT3pDTaEQdshq7ZLmhzKiae2weZH45pw5ErYu,3.0,22.0000484038,2168005.744808354,1220,13,1259
14ShUZUYUR35RBZW6uVVt1zXDxmSQddkeDdXf1JkMA6P721N,3.0,100400.5388214145,3043173.8107734853,800,1,2285
14TQq9qpindSq25rqa9sbEGtmLWDLvjPWnvEuDrnRYeWUk7i,5.0,1.0,2124176.3675645855,1140,6,230
14Uu59k5VLBz3zLMaEe3LBcqRLfKw2VJu2D3krxTssREjDJc,0.0,5886.1845220169,2167156.568132655,1060,2,799
14Y4s6V1PWrwBLvxW47gcYgZCGTYekmmzvFsK1kiqNH2d84t,10.0,1482.4464461224,2346310.0937629896,1100,2,292
14bUYpiF2oxVpmXDnFxBipSi4m9zYBThMZoLpY8bRQrPQNG1,1.0,1.0,2168514.212707612,1120,5,955
14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,1.0,2.0146779553,2167468.751140683,1040,2,1806
14d2kv44xf9nFnYdms32dYPKQsr5C9urbDzTz7iwU8iHb9az,0.0,5446.5337111169,2166586.576851557,720,1,376
14dTZLAwhcBennygERRS5tXnWVAHq3e12LoCoHrQsmDd4X4H,10.0,1.00054307,2165746.1270965207,780,5,205
14g7XsFWsMpsPNkwQNhdHfsqKRehdRbpPLaGVTEhBe4Pt3Eu,2.0,3.0,2167188.7342134425,1120,8,911
14ghKTz5mjZPgGYvgVC9VnFw1HYZmmsnYvSSHFgFTJfMvwQS,0.0,3.0,2167491.3306430834,1140,8,1081
14j3azi9gKGx2de7ADL3dkzZXFzTTUy1t3RND21PymHRXRp6,3.0,111.0,2167418.3851938415,1140,3,901
14pU6dcr5jgMpFZDGB1fwcU6LztP5pszTk5mYz8nUXBu59mU,8.0,1.0,2327226.3965554195,940,1,203
14xKzzU1ZYDnzFj7FgdtDAYSMJNARjDc2gNw4XAFDgr4uXgp,2.0,442.3101721494,3047706.742607579,1080,1,2105
14yx4vPAACZRhoDQm1dyvXD3QdRQyCRRCe5tj1zPomhhS29a,0.0,10231.0864809497,2168546.6732457513,960,1,1381
155tk9HmeJGsNZtA5LFasSCGZCdpAb2P2Gs6ej9JeP38sAww,3.0,11368.6769768574,2165868.3076232187,780,1,326
15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,3.0,23745.7445834633,2167320.790693046,1180,1,894
15FdawBwokuor5wzU2DAU2Cp8i9DwRS1HTNgTNDAbcXuAEXH,4.0,416.7775061604,2167135.925023035,1080,1,619
15K979wvzHuepoL6XXgqdVRNhj7EgLLGvfVnKobzHmxrrwDR,7.0,541.2380376966,2039271.5916097409,1140,2,329
15KDFYfFjdqhp3MDFEtHuyu9kLpXbT7k1zjx78MphViFdCaU,3.0,10651.3573268995,2166904.469428188,860,1,448
15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,2.0,35000.1845,3165823.909091893,960,1,1692
15PeEsbJeU2BZDgoCmo6xdzsuRaZv1PxLaCUyFmfWPwkZPJ4,3.0,5118.7586174319,2166707.0069342386,1140,1,180
15V6NjwmKkZihe644Tyr8GVLxjEzBAHktf6ZcJCTx7RPCoYS,8.0,1.0,1942301.4240090945,1140,1,180
15a9ScnYeVfQGL9HQtTn3nkUY1DTB8LzEX391yZvFRzJZ9V7,1.0,1.0,2283964.5340177007,680,5,1944
15fU523Wq5BCt2NWAmrCU6p8nFB29uVifeG7bwYJHbw5Mmd9,1.0,1.0,2166686.2369806906,1020,1,1379
15hkz83sTMouD7GiiWP3SQc5DXaZFumYgJ6bf8Xq3dphPQ4h,7.0,1.0,2174976.5344052934,800,1,63
15oKi7HoBQbwwdQc47k71q4sJJWnu5opn1pqoGx4NAEYZSHs,3.0,1619.5715033236,2167367.470988513,1080,13,719
15qomv8YFTpHrbiJKicP4oXfxRDyG4XEHZH7jdfJScnw2xnV,3.0,28004.524434255,2167523.7829303187,1100,13,996
15rG8TKYDpSM74YkbHXX5LzJVjmVZF5KjKWWapEAX241U43p,7.0,1.0,2175019.3600179516,820,1,98
15uBfpvbPWSUaiLjrgT3H389axNwLkduKA3GB88C1fqbWLpz,10.0,1.0005331925,2163088.3396620583,860,1,58
163BmbjpXzPyzQWhFBW2ghLT1gErMTiuFdR5NQEADybDTrAR,7.0,1.0,2174940.7757692505,1000,1,46
1653t723BHhC2krGCFKUUNDQb5sUafy5pZvKVwnwo1oMAMi7,10.0,1.0004538308,2162766.690396758,1260,5,359
165JpxmCRi28GwbFAjjrD74FTfGdLfHi1LUGMaYLjziDvi4r,8.0,1.0,2167899.3621857096,940,1,370
16A1zLQ3KjMnxch1NAU44hoijFK3fHUjqb11bVgcHCfoj9z3,2.0,3.0,2165421.567361737,960,8,788
16A4n4UQqgxw5ndeehPjUAobDNmuX2bBoPXVKj4xTe16ktRN,3.0,1288.2811544004,2160185.749432229,1020,3,246
16AwfzpzDpz4V8ikgvgqmgdBoAfrS3LJY1fwGuq8aiKX4ZaZ,5.0,1.0,2123182.482531129,820,6,240
16DKyH4fggEXeGwCytqM19e9NFGkgR2neZPDJ5ta8BKpPbPK,3.0,22.0000050724,3048411.543425842,1040,13,1295
16FUnnZX7h11sxio9wu6DGGqD66z5vXxNLcXuSJFWFAjkaZ5,10.0,1.0005540848,2165989.4610837973,980,1,137
16GDRhRYxk42paoK6TfHAqWej8PdDDUwdDazjv4bAn4KGNeb,3.0,105005.0983172621,2169574.2308235164,800,1,1848
16Ma3suDhT8TkTWffpPaS8sMFn2K6rEqddVJY4QCCUSj2J5J,1.0,1.0,5906988.548707352,1040,1,233
16S9PjqUFWjQweYymtUQ6GHjjJ6AXX1AQePWJ8gFzrWWcmy2,3.0,11458.3698659583,2166960.0653532674,1040,1,362
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,2.0,15397.9587873399,3405209.691402086,1080,5,2375
16aThbzrsb2ohiLXJLqN8jLST6JgUPRi3BqyHxUW4yVHBQ44,2.0,3.0,2166561.255064361,1100,8,774
16fish7rrBhVnkmfQuiKUaPZGm8AiK2oGGJoTwrL4keeHbbe,4.0,81.8326992831,2253931.162882197,940,1,764
